ENSEMBL,ENTREZID,SYMBOL,DZQV_Plasmablasts,X925L_Plasmablasts,X9JD4_Plasmablasts,G4YW_Plasmablasts,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000211445,2878,GPX3,0.0992484,0.635732,2.9016725,0.7870511,1.4778303,2.111008,7.077167,4.689333
ENSG00000145901,10318,TNIP1,20.372713,21.47389,29.72549236,19.146205,84.02027,86.821543,92.82554092,91.06567
ENSG00000197043,309,ANXA6,165.251672,132.175926,206.647335,162.07347,354.60857,306.363311,333.776647,238.548741
ENSG00000198624,26112,CCDC69,110.329684,79.19861,93.663996,35.896034,62.76069,132.92656,80.62545003,94.91767
ENSG00000196743,2760,GM2A,10.81554,12.860114,9.799509,10.796313,42.46419,101.43275,40.91506,59.57841
ENSG00000186334,285641,SLC36A3,0,0.0771598,0.172788,0.1251466,0.139933,1.501686,0.6473104,0.810913
ENSG00000186335,153201,SLC36A2,0.23203,0.11435643,0.138653,0.0476652,0.467238,1.15398,1.34636,0.8623786
ENSG00000123643,206358,SLC36A1,0.2059728,1.243873,0.25390203,1.19734,8.191884,10.089643,5.02727,2.8200813
ENSG00000086570,2196,FAT2,0.00902655,0.0105195,0,0,0,0.040357,0.3430624,0.02213
ENSG00000276622,102465246,MIR6499,0,0,0,0,0,0,0,0
ENSG00000260581,105378231,LOC105378231,0,0.0373615,0.071213,0,0,0.143293,0.147137,0.078858
ENSG00000113140,6678,SPARC,2.7642639,0.706523,3.9711459,3.20869,38.06316,14.674327,14.535122,4.492928
ENSG00000249035,101927096,CLMAT3,0,0,0,0,0,0,0,0
ENSG00000177556,475,ATOX1,9.276237,7.518161,10.684308,7.44831,11.0965304,11.182196,20.252751,17.7834097
ENSG00000145907,10146,G3BP1,59.70170836,51.753289,68.106348,59.252199,117.964172,116.67403,116.40747,86.375885
ENSG00000145888,2741,GLRA1,0.0790006,0,0.0320152,0.0759837,0.0703324,0.575329,0.5098,0.292249
ENSG00000254226,101927115,LINC01933,0.0125234,0.0158451,0.2797217,0.0693986,0,0.119371,0.0614449,0
ENSG00000132911,56923,NMUR2,0,0,0,0,0,0,0,0
ENSG00000249484,101927134,LINC01470,0.0430807,0,0.0576198,0.0300309,0,0.1583944,0,0.183354
ENSG00000155511,2890,GRIA1,1.14573,0.793302,1.96539,0.949751,8.0539168,2.868757,11.269878,8.637821
ENSG00000251183,105378238,LINC01861,0,0,0,0,0,0,0,0
ENSG00000055147,10827,FAM114A2,13.897806,17.273954,14.8348577,17.090315,25.515587,17.688046,21.6934894,18.262619
ENSG00000037749,4238,MFAP3,3.653907,5.255332,5.4453954,6.385591,9.260729,11.730528,9.541847,6.784583
ENSG00000164574,55568,GALNT10,3.0526199,2.435235,5.01007,8.058468,10.057781,19.952282,14.827174,15.671972
ENSG00000245275,386627,SAP30L-AS1,2.176676,3.15849,2.28581,3.797405,15.17916,11.33606,18.459993,11.38743
ENSG00000221430,100302181,MIR1294,0,0,5.89659,2.78321,8.39226,27.7515,10.0501,5.39221
ENSG00000164576,79685,SAP30L,0.84426474,4.265701,3.548281,0.652297,10.995051,22.470985,7.96832,6.97434
ENSG00000113196,9421,HAND1,0,0,0,0,0,0,0,0
ENSG00000264760,100422950,MIR3141,0,0,0,0,0,0,0,0
ENSG00000221552,100302284,MIR1303,0,0,0,0,0,0,0,0
ENSG00000155506,23367,LARP1,15.134588,12.2550305,17.289973,22.7048187,26.338272,36.069724,43.460433,30.55211
ENSG00000170271,10826,FAXDC2,4.8055724,2.3407954,3.060209,1.9691672,12.868526,19.067644,13.42959,6.829760496
ENSG00000263361,100616306,MIR378H,1.94033,0,6.42584,0,0,0,4.60431,0
ENSG00000155508,9337,CNOT8,37.575622,35.06346531,33.047887,35.4540828,146.65106,121.82324,125.3959115,107.491342
ENSG00000082516,25929,GEMIN5,3.385829,1.00879,3.12588,0.8403138,5.72868,10.311771,9.30421,5.334186
ENSG00000082515,29093,MRPL22,21.1243928,18.794257,20.36799796,23.533482,7.398061,17.423858,22.105887,29.875245
ENSG00000226650,285643,KIF4B,0,0,0.0119419,0,0,0.370703,0.0238193,0
ENSG00000170624,6444,SGCD,0.0568999,0.0105294,0.0853374,0.0821833,0,0,0,0
ENSG00000231989,153743,PPP1R2B,0,0,0,0,0,0.057636,0.118189,0
ENSG00000145850,91937,TIMD4,0.564384,0.2805801,1.334036,1.8816071,0,0,0,0
ENSG00000113249,26762,HAVCR1,0.0315073,0,0.0303671,0.106893,0,0.206743,0.500242,0.743372
ENSG00000135077,84868,HAVCR2,0.856266,0.0737287,1.228731,2.819333,7.186116,4.402451,4.691417,5.977698
ENSG00000155868,9443,MED7,6.550123,5.6008,3.200522,3.80531,5.27599,10.2721,14.338018,10.53786
ENSG00000113263,3702,ITK,0.730213,0.5186846,0.64965,0.7746946,6.14046,5.782548,5.27097,5.141915
ENSG00000170613,153745,FAM71B,0,0,0,0,0,0,0,0
ENSG00000055163,26999,CYFIP2,48.3453863,42.6419972,49.979626,57.11339481,152.834319,272.430565,194.709679,182.7039821
ENSG00000172568,408263,FNDC9,0.595979,0.15837,1.044735,0.897072,2.108425,10.33223,6.09403,5.02185
ENSG00000135074,8728,ADAM19,43.089582,29.297563,40.633978,38.5207139,99.521179,89.708439,97.699746,127.04477
ENSG00000172548,348938,NIPAL4,0.808026,0.0542916,0.832783,0.499229,3.599259,15.557562,8.277664,6.501992
ENSG00000039600,11063,SOX30,0.232547002,0.370707,0.5051277,0.165623,0.357955,0.696243,1.00839,0.737375665
ENSG00000187658,100190949,C5orf52,0,0,0,0,0.708282,0,0,0
ENSG00000113272,54974,THG1L,5.48958,8.08559,8.80163,13.683073,11.64803,7.53048,7.51931,10.00442
ENSG00000155858,134353,LSM11,0.0829796,0.18652,0.0584057,0.498756,1.26457,0.514678,0.981151,0.24328
ENSG00000113282,9685,CLINT1,104.073685,104.171727,166.271774,135.692284,89.94062,99.223771,72.981782,64.267064
ENSG00000276778,101927697,LINC02227,0.0944886,0,0.0135747,0.0952773,0,0.0819312,0.561481,0.449785
