ENSEMBL,ENTREZID,SYMBOL,DZQV_CD8_naive,X925L_CD8_naive,X9JD4_CD8_naive,G4YW_CD8_naive,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000199024,406896,MIR103A2,7.71113,9.42516,5.30954,9.76145,0,20.123,25.3329,10.6712
ENSG00000283320,100302282,MIR103B2,0,0,0,0,0,0,0,0
ENSG00000101236,11237,RNF24,4.285998,16.1104,13.99696,15.917859,19.7171,13.369243,17.10679,14.82222
ENSG00000088826,54498,SMOX,0.68822,0.259496,0.619243,0.727772,8.454761432,2.077736515,3.403751,0.477735
ENSG00000230176,728228,LINC01433,0,0,0,0,0,0,0,0
ENSG00000171873,146,ADRA1D,0,0,0,0,0,0,0,0
ENSG00000171867,5621,PRNP,42.9262,89.142713,63.71928,64.069095,98.328709,74.04822,68.61485,52.30992
ENSG00000171864,23627,PRND,0.228834,0.526809,0.0704115,0.464483,0.256454,0.392041,0.280976,0.298332
ENSG00000180259,149830,PRNT,0,0,0,0,0,0,0,0
ENSG00000101265,9770,RASSF2,18.3037,35.751785,19.30385,23.038767,75.05921,110.01909,60.24598,57.26862
ENSG00000089057,9962,SLC23A2,9.881763058,22.68557695,10.518844,11.76943029,16.3296259,18.09952887,10.458294,8.19621
ENSG00000089063,29058,TMEM230,278.7282,129.12516,228.184688,209.483999,160.18006,105.436398,160.538103,157.356118
ENSG00000132646,5111,PCNA,23.72634,10.00369,30.8497,19.29059,15.8665,13.88462,19.29139,16.35238
ENSG00000101290,8760,CDS2,61.086791,120.77094,81.53944,107.07633,81.64329,65.86652,96.367056,80.06858
ENSG00000101292,128674,PROKR2,0,0,0,0.304494,0,0,0,0
ENSG00000226995,100507629,LINC00658,0.442088,1.46024,0.656655,0.511697,0.701019,1.666314,1.792122,0.787843
ENSG00000205181,149837,LINC00654,0,0.850412,2.3425232,0.7167555,1.454618,1.305838,1.044465,0.19727
ENSG00000225640,101929207,LINC01729,0,0,0,0,0,0.662051,0,0
ENSG00000125772,56261,GPCPD1,53.34134,75.26911,56.132871,62.581145,57.45747128,146.45486,87.68438,60.80873139
ENSG00000171984,149840,SHLD1,23.92326,16.85678,23.929342,17.79782,12.64757,16.51535,29.68959,21.0669
ENSG00000089199,1114,CHGB,0.94483,0.448744,0.48929,0.81324,0.676234,1.00088,1.52331,0.726419
ENSG00000089195,51605,TRMT6,11.18108,16.088464,19.364556,11.76492,14.27023,15.13506,9.598174,10.28222
ENSG00000125885,84515,MCM8,3.40388,2.69306,2.199272,2.120884,1.412578,2.65062,2.486193,1.678649
ENSG00000278719,101929225,MCM8-AS1,0.278157,1.13755,2.1734,1.42542,1.70939,3.26595,1.36163,0.983494
ENSG00000088766,54675,CRLS1,22.0860674,26.30705,20.66632,20.998231,13.85174123,9.975188,12.16782,19.204558
ENSG00000125872,164312,LRRN4,0,0.0703969,0,0,0,0,0.120217,0
ENSG00000101311,55612,FERMT1,0,0,0,0,0,0,0,0
ENSG00000229876,101929244,CASC20,0.243946,0.58439,0.0836492,0.151284,0.273304,0.163382,0.632931,0.256511
ENSG00000125845,650,BMP2,0,0,0,0,0,0,0,0
ENSG00000228888,101929265,LINC01428,0,0,0,0,0,0,0,0
ENSG00000261249,101929288,LINC01751,0,0,0,0,0,0,0,0
ENSG00000278159,102465865,MIR8062,0,0,0,0,0,0,0,0
ENSG00000101323,54363,HAO1,0,0,0,0,0,0,0,0
ENSG00000125827,56255,TMX4,5.3036,28.99634,14.69855003,16.35704,13.222044,28.24517,31.44413,25.47995
ENSG00000182621,23236,PLCB1,2.357155949,0.852122,4.40278955,1.519871,0.3229134,3.0058026,3.79871,1.757943388
ENSG00000225479,100874337,PLCB1-IT1,0,0,2.74907,0,0,0,3.97813,0
