Antibody_name,donor,Pf_exposure,IGHV,IGHD,IGHJ,light,IGKV_IGLV,IGKJ_IGLJ,IGHC,cluster_id,IGHV_SHM,IGKV_IGLV_SHM,KQPA_AUC,NPDP_AUC,NVD_AUC,NANP_AUC,CCSP_AUC,Pf_inhibition
D0972x2159,D72,III,4-39,3-10,5,lambda,9-49,2,IGHA1,28,18,10,12.1,13.1,11.9,9.4,6.2,86.8
D0972x2296,D72,III,4-39,2-21,5,lambda,9-49,2,IGHA1,28,22,15,11.6,12.3,11.5,8.1,9.5,68.7
D0972x2249,D72,III,4-31,2-15,4,kappa,4-1,1,IGHM,25,8,3,1.9,2.3,2.1,1.5,0.6,29.9
D0972x2147,D72,III,3-33,2-15,4,kappa,1-5,2,IGHG1,17,3,1,0.8,4.6,12.1,12.5,5.9,100
D0972x2262,D72,III,3-33,2-15,4,kappa,1-5,2,IGHG1,17,3,2,1.3,2.8,9.4,11.7,3.1,89.3
D0972x1797,D72,II,3-33,3-22,4,kappa,1-5,1,IGHG1,16,0,0,1.1,1.7,1.7,12.9,1.4,81.7
D0972x2248,D72,III,3-33,3-22,4,kappa,1-5,1,IGHG1,16,1,1,1,1.2,1.4,10.5,1.2,80.8
D0972x2292,D72,III,3-33,3-22,4,kappa,1-5,1,IGHM,16,3,0,1.1,1.5,2.2,12.8,1.1,97.5
D0972x1888,D72,II,3-33,2-15,4,kappa,1-5,1,IGHG1,15,2,0,1.1,10.2,12.1,11.9,1.3,100
D0972x2163,D72,III,3-33,2-15,4,kappa,1-5,1,IGHM,15,0,0,1,7.6,12,12.1,1.2,100
D0972x2219,D72,III,3-33,4-23,3,kappa,1-5,4,IGHM,14,3,1,0.7,6.8,9.3,12,0.7,91.5
D0972x2290,D72,III,3-33,4-23,3,kappa,1-5,4,IGHM,14,0,0,1.2,1.4,1.3,10.6,0.6,52.9
D0972x1987,D72,III,3-33,4-17,3,kappa,1-5,3,IGHM,13,0,0,1.2,5.6,11,12.3,1.1,100
D0972x2100,D72,III,3-33,4-17,3,kappa,1-5,3,IGHG1,13,3,1,1.3,4.4,11.9,13.5,0.9,86.7
D0972x2151,D72,III,3-33,2-15,2,kappa,4-1,1,IGHG1,12,0,0,0.9,1.2,1.3,10.9,0.8,55.8
D0972x2235,D72,III,3-33,2-15,2,kappa,4-1,1,IGHM,12,0,0,1.2,1.7,1.5,10,1.1,57.5
D0972x1694,D72,II,3-30,2-15,4,lambda,9-49,1,IGHM,11,2,2,1.6,3,7.6,6,4.4,71.3
D0972x1791,D72,II,3-30,2-8,4,lambda,9-49,1,IGHM,11,11,3,1,1.4,2.3,0.7,1.3,48.9
D0972x1196,D72,I,3-30-3,6-19,4,lambda,4-69,3,IGHM,9,2,2,1.9,3.4,9.6,1.6,1.2,40.7
D0972x1713,D72,II,3-30-3,6-19,4,lambda,4-69,3,IGHM,9,1,2,1.1,2.3,9.4,0.9,0.9,52.6
D0972x1846,D72,II,3-30-3,6-19,4,lambda,4-69,3,IGHM,9,3,2,1.2,1.8,10.7,1.2,0.8,64.2
